query,ground_true,answer,query_quality,tbp_answer,tbp05,tbp08
我申请退货，你们介入，怎么没有联系我,平台客服介入处理需要多久？,商家拒绝退款/退货申请，怎么办？,3.0,什么是7天无理由退货？,,什么是7天无理由退货？
平台介入多久可以处理成功,平台客服介入处理需要多久？,平台客服介入处理需要多久？,2.0,平台客服介入处理需要多久？,平台官方热线电话是多少？,平台客服介入处理需要多久？
你们平台介入几天，就这效率？,平台客服介入处理需要多久？,,3.0,平台客服介入处理需要多久？,平台客服介入处理需要多久？,平台客服介入处理需要多久？
你们是要多久才给我处理？？,平台客服介入处理需要多久？,平台客服介入处理需要多久？,3.0,平台客服介入处理需要多久？,平台客服介入处理需要多久？,
这个怎么取消订单？,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,,
我没找到取消订单,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何投诉快递
我就当时下单了一个没有给我使用优惠券我取消订单,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何投诉快递
请帮我把这个订单取消一下,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何操作取消订单？
买完东西没有人拼怎么取消订单,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何操作取消订单？
拖鞋这个订单不要了,如何操作取消订单？,,2.0,如何操作取消订单？,如何操作取消订单？,
能取消订单不,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何操作取消订单？
能取消吗,如何操作取消订单？,,2.0,如何操作取消订单？,如何操作取消订单？,
还是那个问题，遇到职业打假的需要平台协助处理一下，取消一下订单<订单号>,如何操作取消订单？,,2.0,如何操作取消订单？,如何操作取消订单？,如何操作取消订单？
帮我退下订单,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何申请退款/退货？
删除订单,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何操作取消订单？
怎么才可以取消订单,如何操作取消订单？,如何操作取消订单？,2.0,如何操作取消订单？,如何操作取消订单？,如何操作取消订单？
订单可以删除嘛,如何操作取消订单？,,2.0,如何操作取消订单？,如何操作退货？,如何操作取消订单？
你好，订单可以删除嘛。,如何操作取消订单？,,2.0,如何操作取消订单？,如何操作退货？,如何操作退货？
为什么不给退货,如何操作退货？,如何操作退货？,3.0,什么是7天无理由退货？,什么是7天无理由退货？,什么快递发货？
我的这订单怎么就退不了吗,如何操作退货？,,3.0,什么是7天无理由退货？,什么是7天无理由退货？,什么是7天无理由退货？
刚还和我说话我退款他不点要我等48小时,如何操作退货？,,3.0,什么是7天无理由退货？,如何申请退款/退货？,后台显示待退货
我在别的地方己买了。退款了吧。,如何操作退货？,,3.0,什么是7天无理由退货？,后台显示待退货,如何申请退款/退货？
你们怎么退,如何操作退货？,,3.0,后台显示待退货,,发起售后申请后多久可以退款？
怎么退货啊,如何操作退货？,如何操作退货？,2.0,如何操作退货？,如何操作退货？,如何申请退款/退货？
退货地址商家都不提供,如何查看商家退货地址？,如何查看商家退货地址？,3.0,如何查看商家退货地址？,如何查看商家退货地址？,如何查看商家退货地址？
退货地址一个给我,如何查看商家退货地址？,如何查看商家退货地址？,2.0,如何查看商家退货地址？,如何查看商家退货地址？,如何查看商家退货地址？
尽快通知商家给我退货地址，,如何查看商家退货地址？,如何查看商家退货地址？,2.0,如何查看商家退货地址？,如何查看商家退货地址？,如何查看商家退货地址？
退货地址,如何查看商家退货地址？,如何查看商家退货地址？,2.0,如何查看商家退货地址？,如何查看物流信息？,如何查看物流信息？
请问发货了吗,如何查看物流信息？,,3.0,下单后多久可以发货？,下单后多久可以发货？,下单后多久可以发货？
买的酱发货了吗？,如何查看物流信息？,,3.0,下单后多久可以发货？,下单后多久可以发货？,下单后多久可以发货？
看下到那了,如何查看物流信息？,,3.0,下单后多久可以发货？,下单后多久可以收到？,
我快递是不是到了？,如何查看物流信息？,快递无走件信息,3.0,什么快递发货？,什么快递发货？,
物流信息在哪里查的呢/::O,如何查看物流信息？,如何查看物流信息？,2.0,如何查看物流信息？,如何查看物流信息？,如何查看商家退货地址？
物流,如何查看物流信息？,快递不派送,2.0,如何查看物流信息？,,如何查看物流信息？
你好，我的物流到哪里了,如何查看物流信息？,什么快递发货？,2.0,如何查看物流信息？,,如何查看商家退货地址？
看物流消息,如何查看物流信息？,如何查看物流信息？,2.0,如何查看物流信息？,如何查看物流信息？,如何查看商家退货地址？
你查一下物流到哪里了,如何查看物流信息？,快递无走件信息,3.0,如何查看物流信息？,如何查看物流信息？,如何查看物流信息？
哪里看到物流信息,如何查看物流信息？,如何查看物流信息？,1.0,如何查看物流信息？,如何查看物流信息？,如何查看物流信息？
怎么查看物流,如何查看物流信息？,如何查看物流信息？,1.0,如何查看物流信息？,如何查看物流信息？,如何查看物流信息？
怎么查物流信息,如何查看物流信息？,如何查看物流信息？,1.0,如何查看物流信息？,,如何查看物流信息？
/::@今天能看见物流信息吗,如何查看物流信息？,如何查看物流信息？,3.0,如何查看物流信息？,如何查看物流信息？,如何查看物流信息？
请问下怎么查物流,如何查看物流信息？,如何查看物流信息？,2.0,如何查看物流信息？,如何查看物流信息？,如何查看物流信息？
那你给我查查多会发的货，有没有物流信息,如何查看物流信息？,如何查看物流信息？,2.0,如何查看物流信息？,如何查看物流信息？,如何申请退款/退货？
查询物流,如何查看物流信息？,如何查看物流信息？,2.0,如何查看物流信息？,如何查看物流信息？,如何查看物流信息？
我可以通过订单号查询物流单号吗,如何查看物流信息？,如何查看物流信息？,2.0,如何查看物流信息？,,如何查看物流信息？
你好，人工服务,如何联系人工在线客服？,,3.0,如何联系人工在线客服？,如何申请退款/退货？,如何申请退款/退货？
你好 人工,如何联系人工在线客服？,,3.0,如何联系人工在线客服？,如何申请退款/退货？,如何申请退款/退货？
没人联系，你们电话打不通,如何联系人工在线客服？,,3.0,如何联系人工在线客服？,如何申请退款/退货？,如何联系人工在线客服？
人工有吗,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何申请退款/退货？,如何联系人工在线客服？
转人工,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
你是人工吗,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
商家不在线，联系不上,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
有人工吗？,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
客服有人吗？,如何联系人工在线客服？,如何联系人工在线客服？,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
客服在吗,如何联系人工在线客服？,如何联系人工在线客服？,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
是人工客服吗,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,已经退货了，多久可以退款？
在吗，客服。,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
有人工客服电话,如何联系人工在线客服？,如何联系人工在线客服？,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
转人工客服,如何联系人工在线客服？,如何联系人工在线客服？,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
人工吗,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
你好人工,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
平台客服,如何联系人工在线客服？,,2.0,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
电话联系？,如何联系人工在线客服？,如何联系人工在线客服？,3,平台官方热线电话是多少？,平台官方热线电话是多少？,已经退货了，多久可以退款？
商家客服在哪里联系,如何联系人工在线客服？,如何联系人工在线客服？,3,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
我要内个10266客服和我说话,如何联系人工在线客服？,如何联系人工在线客服？,,如何联系人工在线客服？,如何联系人工在线客服？,如何联系人工在线客服？
要求退货，为什么到现在不给退？,如何申请退款/退货？,发起售后申请后多久可以退款？,3.0,什么是7天无理由退货？,什么是7天无理由退货？,什么是7天无理由退货？
这么长时间图片明摆着还三番五次扯皮，赶紧给我退款，你们叫快递把面粉取走，别让我天天看着堵心。你们小鹅平台也太弱了吧？,如何申请退款/退货？,,3.0,什么是7天无理由退货？,什么是7天无理由退货？,什么是7天无理由退货？
麻烦退款,如何申请退款/退货？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,什么是7天无理由退货？
退款的窗口就没了,如何申请退款/退货？,,3.0,发起售后申请后多久可以退款？,,发起售后申请后多久可以退款？
退货退款,如何申请退款/退货？,如何操作退货？,2.0,如何操作退货？,如何操作退货？,如何操作退货？
我多付了一单，退一单行吗？,如何申请退款/退货？,,3.0,如何操作退货？,如何操作退货？,如何操作退货？
这次买的苹果不好，不是富士。我要商家退货或赔偿。我上次也是这家店买的。苹果完全不一样。,如何申请退款/退货？,坏果烂果,3.0,如何操作退货？,如何操作退货？,
我要退款，不良商家！我明明5.9元买的驱蚊液，他给7.9元的洗手液强卖给我，平台应介入。我要退款換驱蚊液。,如何申请退款/退货？,,3.0,如何操作退货？,如何操作退货？,如何操作退货？
商家态度太恶劣，我要退了,如何申请退款/退货？,商家拒绝退款/退货申请，怎么办？,3.0,如何操作退货？,如何操作退货？,如何操作退货？
鞋子2双我可以退货吧,如何申请退款/退货？,,3.0,如何操作退货？,如何操作退货？,
我现在要退货退款，并要商家承担运费,如何申请退款/退货？,如何申请退款/退货？,2.0,如何操作退货？,如何操作退货？,如何操作退货？
我要退货退款,如何申请退款/退货？,如何操作退货？,2.0,如何操作退货？,如何操作退货？,如何操作退货？
我这单商家货品有问题要退,如何申请退款/退货？,,2.0,如何操作退货？,如何操作退货？,如何操作退货？
我要求退货退款,如何申请退款/退货？,如何操作退货？,2.0,如何操作退货？,如何操作退货？,
退货退款吧,如何申请退款/退货？,如何操作退货？,2.0,如何操作退货？,,
买三代羊肉卷，吃一袋，头晕恶心，想把剩下两袋退回，怎么操作？,如何申请退款/退货？,,3.0,如何操作退货？,,如何查看商家退货地址？
我收到的东西是坏的，申请退款,如何申请退款/退货？,收到商品破损/少件/错发,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
这不是在玩弄顾客吗？我要求退款,如何申请退款/退货？,商家拒绝退款/退货申请，怎么办？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我要求退款,如何申请退款/退货？,商家拒绝退款/退货申请，怎么办？,3.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
你们的水果已经损坏怎么退款呢谢谢你！,如何申请退款/退货？,,2.0,如何申请退款/退货？,如何申请退款/退货？,
怎么退款，怎么补发,如何申请退款/退货？,,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我买的商品怎么不能申请退款,如何申请退款/退货？,发起售后申请后多久可以退款？,3.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
你好，我之前买的芒果，要申请退款，芒果已经扔掉了，商家说让拍照，已经没办法拍了。,如何申请退款/退货？,,3.0,如何申请退款/退货？,,如何申请退款/退货？
不要了，我要退货,如何申请退款/退货？,如何操作退货？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我要全部退款,如何申请退款/退货？,发起售后申请后多久可以退款？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
帮忙退款谢谢。。,如何申请退款/退货？,,3.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我申请退款,如何申请退款/退货？,发起售后申请后多久可以退款？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我要求直接退款！,如何申请退款/退货？,商家拒绝退款/退货申请，怎么办？,2.0,如何申请退款/退货？,如何申请退款/退货？,
买的一个产品退款,如何申请退款/退货？,,3.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
怎么申请请退款,如何申请退款/退货？,如何申请退款/退货？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我不要了，我要退货,如何申请退款/退货？,如何操作退货？,3.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
我想要退款,如何申请退款/退货？,发起售后申请后多久可以退款？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何申请退款/退货？
退款吧,如何申请退款/退货？,申请退货/退款后如何操作撤销退货/退款申请？,2.0,如何申请退款/退货？,如何申请退款/退货？,
这个货我要申请退款，货我已经收到。,如何申请退款/退货？,,3.0,已经退货了，多久可以退款？,已经退货了，多久可以退款？,如何联系人工在线客服？
问题是我申请不了退款,如何申请退款/退货？,发起售后申请后多久可以退款？,2.0,申请退货/退款后如何操作撤销退货/退款申请？,显示签收但实际未收到,
申请仅退款怎么一直申请不了,如何申请退款/退货？,,2.0,申请退货/退款后如何操作撤销退货/退款申请？,申请退货/退款后如何操作撤销退货/退款申请？,申请退货/退款后如何操作撤销退货/退款申请？
我不要了，能不能给我退款了,如何申请退款/退货？,发起售后申请后多久可以退款？,3.0,申请退货/退款后如何操作撤销退货/退款申请？,申请退货/退款后如何操作撤销退货/退款申请？,申请退货/退款后如何操作撤销退货/退款申请？
我在你们平台购买一单筷子，拿到后质量太差了，筷子两边有披风，不能用，能退吗,如何申请退款/退货？,收到商品破损/少件/错发,3.0,质量问题,购买后多久可以收到产品？,质量问题
你给我全退了都行,如何申请退款/退货？,,3.0,,,
给我退钱,如何申请退款/退货？,,3.0,,,如何操作退货？
能退就退了吧,如何申请退款/退货？,发起售后申请后多久可以退款？,3.0,,,
要不然给我退货吧,如何申请退款/退货？,商家拒绝退款/退货申请，怎么办？,,如何操作退货？,,如何操作退货？
麻烦退货,如何申请退款/退货？,如何操作退货？,,如何操作退货？,如何操作退货？,如何操作退货？
我要投诉这个快递,如何投诉快递,如何投诉快递,2.0,如何投诉快递,如何投诉快递,如何投诉快递
我要投诉那个快递员,如何投诉快递,如何投诉快递,2.0,如何投诉快递,,如何投诉快递
投诉快递员,如何投诉快递,如何投诉快递,2.0,如何投诉快递,如何投诉快递,如何投诉快递
在那里可以投诉快递员,如何投诉快递,如何投诉快递,2.0,如何投诉快递,如何投诉快递,如何操作取消订单？
而且我还要投诉快递员,如何投诉快递,如何投诉快递,2.0,如何投诉快递,,如何投诉快递
我要投诉物流公司,如何投诉快递,如何投诉快递,2.0,如何投诉快递,如何操作取消订单？,如何投诉快递
1.投诉快递，没有电话，家里有人，没有送货上门,如何投诉快递,快递不派送,2.0,如何投诉快递,,如何投诉快递
是新安镇，之前发货是中都镇，因为我没看清地址,如何修改收货地址或订单信息？,商家发货地是哪里？,3.0,商家发货地是哪里？,商家发货地是哪里？,商家发货地是哪里？
我想改一下地址,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,坏果烂果
昨晚给你发过，地址弄错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,
那个我的电话号码留错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
地址填错了如何修改？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
我改地纸,如何修改收货地址或订单信息？,买错了，需要修改订单内容,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
订单上的电话号码不对可以改吗,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
电话号码填错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
收货地址也不对,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
手机号可以改吗,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
地址写错了怎么办,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
修改收货地址,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
我那电话写错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
我这个快递手机号填错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
没有改地址啊,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
电话错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
地址写错了能改吗,如何修改收货地址或订单信息？,买错了，需要修改订单内容,2.0,如何修改收货地址或订单信息？,,如何修改收货地址或订单信息？
换一下地址,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
可以改吗,如何修改收货地址或订单信息？,买错了，需要修改订单内容,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
没有改地址,如何修改收货地址或订单信息？,买错了，需要修改订单内容,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
地址填错了，可以修改吗,如何修改收货地址或订单信息？,买错了，需要修改订单内容,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
名字错了,如何修改收货地址或订单信息？,买错了，需要修改订单内容,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
能帮我改地址吗,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,,如何修改收货地址或订单信息？
有个东西地址错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
我之前电话号码填错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
换地址了，收货地址,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？
改一下发货地址,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何投诉快递,如何修改收货地址或订单信息？
我地址错了,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,3.0,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,如何投诉快递
帮我改一下地址,如何修改收货地址或订单信息？,如何修改收货地址或订单信息？,2.0,如何修改收货地址或订单信息？,,如何修改收货地址或订单信息？
那里发货,商家发货地是哪里？,商家发货地是哪里？,2.0,什么快递发货？,什么快递发货？,什么快递发货？
您这个是全国发货是吗？,商家发货地是哪里？,商家发货地是哪里？,3.0,什么快递发货？,什么快递发货？,什么快递发货？
从哪里发货的啊？,商家发货地是哪里？,商家发货地是哪里？,2.0,什么快递发货？,,
哪里发货,商家发货地是哪里？,商家发货地是哪里？,2.0,商家发货地是哪里？,商家发货地是哪里？,商家发货地是哪里？
你好，哪里发货的,商家发货地是哪里？,商家发货地是哪里？,2.0,商家发货地是哪里？,商家发货地是哪里？,商家发货地是哪里？
哪里发货的啊,商家发货地是哪里？,商家发货地是哪里？,2.0,商家发货地是哪里？,商家延迟发货怎么办？,商家发货地是哪里？
我申请退货退款也不同意,商家拒绝退款/退货申请，怎么办？,如何申请退款/退货？,3.0,什么是7天无理由退货？,什么是7天无理由退货？,你们平台卖的是正品吗？
不给退款,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,什么是7天无理由退货？
也申请过退款没成功。,商家拒绝退款/退货申请，怎么办？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,你们平台卖的是正品吗？
况且我巳点进退款，但对方没有回复（反应）/::D/::D,商家拒绝退款/退货申请，怎么办？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
联系了，那怎么处理，商家不给处理,商家拒绝退款/退货申请，怎么办？,,3.0,后台显示待退货,后台显示待退货,后台显示待退货
商家也不回信,商家拒绝退款/退货申请，怎么办？,,3.0,商家拒绝退款/退货申请，怎么办？,商家延迟发货怎么办？,商家延迟发货怎么办？
货都没发 商家拒绝退款,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
商家拒绝退款什么意思,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,商家延迟发货怎么办？,商家拒绝退款/退货申请，怎么办？
为啥拒绝退款,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,商家延迟发货怎么办？,商家延迟发货怎么办？
怎么平台又不联系 商家也没联系 直接又驳回了,商家拒绝退款/退货申请，怎么办？,,3.0,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家延迟发货怎么办？
我联系商家没回复我,,,,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
联系商家不处理,,,,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
商家也没有回信了，,,,,商家拒绝退款/退货申请，怎么办？,如何联系人工在线客服？,
都拒绝我了,,,,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
商家系统拒绝过一次,商家拒绝退款/退货申请，怎么办？,,3.0,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
商家不同意,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,3.0,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
然后不给我退款,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
商家不回复信息,,,,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
你好商家不给我退款或者补发,商家拒绝退款/退货申请，怎么办？,,2.0,商家拒绝退款/退货申请，怎么办？,,
黑心商家不让退,商家拒绝退款/退货申请，怎么办？,,3.0,商家拒绝退款/退货申请，怎么办？,,商家拒绝退款/退货申请，怎么办？
申请退款 商家拒绝,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,坏果烂果,商家拒绝退款/退货申请，怎么办？
商家拒绝退款再给我发一次？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,质量问题,
卖家拒绝退款,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,商家拒绝退款/退货申请，怎么办？,,坏果烂果
是的，商家不同意,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,3.0,如何操作退货？,如何操作退货？,如何操作取消订单？
申请退款被无良商家拒绝,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？,2.0,如何申请退款/退货？,如何申请退款/退货？,如何联系人工在线客服？
当时拍错了，立马退款，被拒绝，没有收到信息，凭什么拒绝退款,商家拒绝退款/退货申请，怎么办？,,3.0,申请退货/退款后如何操作撤销退货/退款申请？,显示签收但实际未收到,
我找商家投诉商品质量差，商家给的理由前后矛盾,商家拒绝退款/退货申请，怎么办？,质量问题,,质量问题,,购买后多久可以收到产品？
他们家延迟发货,商家延迟发货怎么办？,商家延迟发货怎么办？,2.0,商家延迟发货怎么办？,商家拒绝退款/退货申请，怎么办？,
他们家延迟发货，我要投诉,商家延迟发货怎么办？,商家延迟发货怎么办？,2.0,商家延迟发货怎么办？,商家发货地是哪里？,
我要求对这种严重推迟发货的商家采取措施,商家延迟发货怎么办？,商家延迟发货怎么办？,2.0,商家延迟发货怎么办？,商家拒绝退款/退货申请，怎么办？,商家延迟发货怎么办？
我不得不说，贵平台的商家发货慢，服务态度怠慢,商家延迟发货怎么办？,商家一直不发货,3.0,商家延迟发货怎么办？,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
什么态度啊，自己超时了，不发货还叫我退款,商家延迟发货怎么办？,,3.0,商家延迟发货怎么办？,商家发货地是哪里？,商家拒绝退款/退货申请，怎么办？
兑换的东西不给发货，过期了，怎么办,商家延迟发货怎么办？,,3.0,商家延迟发货怎么办？,商家发货地是哪里？,商家延迟发货怎么办？
20号下单的到现在不发货？,商家一直不发货,商家一直不发货,2.0,下单后多久可以发货？,,
已经拍了几天了 都看不到发货的迹象,商家一直不发货,商家一直不发货,3.0,下单后多久可以发货？,,下单后多久可以发货？
商家不打算发货了吗,商家一直不发货,商家一直不发货,2.0,下单后多久可以发货？,下单后多久可以发货？,下单后多久可以发货？
快发货。,商家一直不发货,商家一直不发货,3.0,下单后多久可以发货？,下单后多久可以发货？,下单后多久可以发货？
咋不发货了？显买的少吗？,商家一直不发货,商家一直不发货,3.0,下单后多久可以发货？,下单后多久可以发货？,下单后多久可以发货？
你好我快递好久不发货,商家一直不发货,商家一直不发货,2.0,什么快递发货？,什么快递发货？,什么快递发货？
商家还不发货,商家一直不发货,商家一直不发货,2.0,商家一直不发货,,后台显示待退货
因生鲜水果，怎么迟迟不发货？,商家一直不发货,商家一直不发货,2.0,商家一直不发货,,商家一直不发货
好久了一直未发货,商家一直不发货,商家一直不发货,2.0,商家一直不发货,,商家一直不发货
咋还没发货呢,商家一直不发货,下单后多久可以发货？,2.0,商家一直不发货,商家一直不发货,商家一直不发货
购买10天了还没发货,商家一直不发货,,2.0,商家一直不发货,商家一直不发货,
没有发货啊,商家一直不发货,商家一直不发货,2.0,商家一直不发货,商家一直不发货,
买的拖鞋怎么不发货,商家一直不发货,商家一直不发货,2.0,商家一直不发货,商家一直不发货,
发货太慢不要了,商家一直不发货,商家一直不发货,2.0,商家一直不发货,商家一直不发货,商家一直不发货
都五天了还没发货,商家一直不发货,,2.0,商家一直不发货,商家一直不发货,商家一直不发货
48小时过了还没发货,商家一直不发货,,2.0,商家一直不发货,商家一直不发货,商家一直不发货
